AT (C),BEN (ug/m3),BP (mBar),BP (mmHG),CH4 (ppm),CO (ppm),Date,Eth (ug/m3),H2S (ppb),NO (ppb),NO2 (ppb),NO2 (ppm),NOX (ppb),NOx (ppb),NRAD (w/m2),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),RAIN (m/s),RAIN (mm),RH (%),Rain (mm),SD (Degree),SD (w/m2),SO2 (ppb),SOLAR (w/m2),SRAD (w/m2),ST (ppb),TEMP (C),TEMP (Degree),THC (ppm),THCNM (ppm),TNMHC (ppm),TOL (ug/m3),Temp (C),WD (Degree),WD_S (Degree),WS (m/s),WS_S (m/s),mpXy (ug/m3),oXyl (ug/m3),station
,,,757.53,,0.65,2019-01-01 00:00:00,,,-,-,,-,,-31.84,11,63,,,0.00,54.52,,44.83,,1,,-0.20,,26.10,,,,,,,106.87,,0.45,,,,02t
,,,757.53,,0.65,2019-01-01 00:00:00,,,-,-,,-,,-31.84,11,63,,,0.00,54.52,,44.83,,1,,-0.20,,26.10,,,,,,,106.87,,0.45,,,,02t
,,,757.30,,0.61,2019-01-01 01:00:00,,,-,-,,-,,-32.24,7,65,,,0.00,56.02,,55.62,,1,,0.11,,26.00,,,,,,,76.68,,0.25,,,,02t
,,,757.30,,0.61,2019-01-01 01:00:00,,,-,-,,-,,-32.24,7,65,,,0.00,56.02,,55.62,,1,,0.11,,26.00,,,,,,,76.68,,0.25,,,,02t
,,,756.87,,0.69,2019-01-01 02:00:00,,,-,-,,-,,-32.75,3,53,,,0.00,59.04,,61.14,,1,,-0.02,,25.49,,,,,,,107.30,,0.14,,,,02t
,,,756.87,,0.69,2019-01-01 02:00:00,,,-,-,,-,,-32.75,3,53,,,0.00,59.04,,61.14,,1,,-0.02,,25.49,,,,,,,107.30,,0.14,,,,02t
,,,756.76,,0.46,2019-01-01 03:00:00,,,-,-,,-,,-33.68,12,54,,,0.00,53.53,,48.23,,1,,0.08,,25.09,,,,,,,101.44,,0.22,,,,02t
,,,756.76,,0.46,2019-01-01 03:00:00,,,-,-,,-,,-33.68,12,54,,,0.00,53.53,,48.23,,1,,0.08,,25.09,,,,,,,101.44,,0.22,,,,02t
,,,756.87,,0.57,2019-01-01 04:00:00,,,-,-,,-,,-33.63,2,39,,,0.00,58.54,,49.80,,1,,-0.55,,24.60,,,,,,,60.79,,0.18,,,,02t
,,,756.87,,0.57,2019-01-01 04:00:00,,,-,-,,-,,-33.63,2,39,,,0.00,58.54,,49.80,,1,,-0.55,,24.60,,,,,,,60.79,,0.18,,,,02t
,,,757.12,,0.60,2019-01-01 05:00:00,,,-,-,,-,,-33.16,1,46,,,0.00,58.54,,44.61,,1,,-0.35,,24.15,,,,,,,58.26,,0.31,,,,02t
,,,757.12,,0.60,2019-01-01 05:00:00,,,-,-,,-,,-33.16,1,46,,,0.00,58.54,,44.61,,1,,-0.35,,24.15,,,,,,,58.26,,0.31,,,,02t
,,,757.75,,0.55,2019-01-01 06:00:00,,,-,-,,-,,-30.13,3,45,,,0.00,57.75,,36.58,,1,,2.06,,23.82,,,,,,,30.48,,0.29,,,,02t
,,,757.75,,0.55,2019-01-01 06:00:00,,,-,-,,-,,-30.13,3,45,,,0.00,57.75,,36.58,,1,,2.06,,23.82,,,,,,,30.48,,0.29,,,,02t
,,,758.57,,0.49,2019-01-01 07:00:00,,,-,-,,-,,-14.61,4,39,,,0.00,55.69,,37.84,,1,,15.97,,23.68,,,,,,,50.61,,1.00,,,,02t
,,,758.57,,0.49,2019-01-01 07:00:00,,,-,-,,-,,-14.61,4,39,,,0.00,55.69,,37.84,,1,,15.97,,23.68,,,,,,,50.61,,1.00,,,,02t
,,,759.02,,0.47,2019-01-01 08:00:00,,,-,-,,-,,39.41,5,41,,,0.00,54.56,,41.27,,1,,57.19,,24.19,,,,,,,43.60,,1.08,,,,02t
,,,759.02,,0.47,2019-01-01 08:00:00,,,-,-,,-,,39.41,5,41,,,0.00,54.56,,41.27,,1,,57.19,,24.19,,,,,,,43.60,,1.08,,,,02t
,,,759.26,,0.44,2019-01-01 09:00:00,,,-,-,,-,,120.00,8,45,,,0.00,53.11,,50.29,,1,,108.63,,25.43,,,,,,,59.29,,0.57,,,,02t
,,,759.26,,0.44,2019-01-01 09:00:00,,,-,-,,-,,120.00,8,45,,,0.00,53.11,,50.29,,1,,108.63,,25.43,,,,,,,59.29,,0.57,,,,02t
,,,758.91,,0.28,2019-01-01 10:00:00,,,-,-,,-,,361.10,14,49,,,0.00,48.95,,49.71,,1,,135.42,,27.21,,,,,,,14.58,,0.82,,,,02t
,,,758.91,,0.28,2019-01-01 10:00:00,,,-,-,,-,,361.10,14,49,,,0.00,48.95,,49.71,,1,,135.42,,27.21,,,,,,,14.58,,0.82,,,,02t
,,,758.08,,0.19,2019-01-01 11:00:00,,,-,-,,-,,570.26,18,45,,,0.00,44.25,,45.94,,2,,616.26,,28.55,,,,,,,19.71,,1.13,,,,02t
,,,758.08,,0.19,2019-01-01 11:00:00,,,-,-,,-,,570.26,18,45,,,0.00,44.25,,45.94,,2,,616.26,,28.55,,,,,,,19.71,,1.13,,,,02t
